Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000275263,AC135048.3,0.0011391992911648856,0.10037581645981852,1.0,0.0,0.0894908504011358,1.0,0.0,3.6921939913475734,1.0
ENSG00000099381,SETD1A,0.07974395038154199,-0.6488160800396479,0.08113323636653756,0.12328553645946563,0.6050319501648129,0.12513109753300583,0.13572712662728786,0.7259823048038574,1.0
ENSG00000099377,HSD3B7,0.09740153939459771,0.2692527284692634,0.48847959025676135,0.07397132187567938,-0.39113499050528455,0.2865836270024693,0.13572712662728786,0.7056145071098956,1.0
ENSG00000099365,STX1B,0.0005695996455824428,-1.4845866842613376,0.6430063554178386,0.0017612219494209376,1.6744533511222919,0.6110027521974525,0.0,3.6921939913475734,1.0
ENSG00000103496,STX4,0.16347509828216109,-0.6897011141659515,0.00074494868037678,0.26418329241314065,0.6696841069744199,0.001717577096996563,0.25448836242616474,0.5023694324675569,1.0
ENSG00000260911,AC135050.3,0.0,-3.806514779148701,0.016452374310916607,0.00704488779768375,3.9963814460096545,0.011819462046125235,0.0,2.9552283971813678,1.0
ENSG00000167394,ZNF668,0.04613757129217787,-0.2563176965882219,0.6759087747205766,0.05988154628031188,0.44618436344917445,0.3497915871642131,0.0,-1.5808245030588424,1.0
ENSG00000167395,ZNF646,0.025062384405627483,-1.037127707290118,0.018494308314543968,0.052836658482628134,1.07406080983153,0.014358780354553017,0.033931781656821966,0.6333003022940051,1.0
ENSG00000151006,PRSS53,0.017087989367473282,-0.1153528745956196,1.0,0.019373441443630315,0.30521954145657393,0.8997161631074342,0.0,-0.11516093071003031,1.0
ENSG00000167397,VKORC1,1.5954486072764222,0.6661583611869301,6.980754746291184e-06,0.9845230697263042,-0.6846059094652651,9.380763572962536e-06,1.20457824881718,-0.26759333379695954,1.0
ENSG00000103507,BCKDK,0.23353585468880153,-0.31729193886369833,0.15221739944142362,0.283556733856771,0.2594158518434482,0.2865836270024693,0.3562837073966306,0.576716773927638,1.0
ENSG00000103510,KAT8,0.18853748268778855,-0.17563644337218687,0.541974906902686,0.21310785587993347,0.17892593398308065,0.5606217203597352,0.2035906899409318,0.15422897016358705,1.0
