Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000051009,FAM160A2,0.10420450829097783,1.0626350007895389,0.0030484924676809078,0.05006277246242036,-1.0626350007895389,0.0030484924676809078
ENSG00000132259,CNGA4,0.0,0.5544880971192132,1.0,0.0005625030613755096,-0.5544880971192132,1.0
ENSG00000170955,CAVIN3,0.5706437358791643,-0.835842415772584,1.4648184600800613e-07,1.0198180502737988,0.835842415772584,1.4648184600800613e-07
ENSG00000282556,AC068733.3,0.001654039814142505,-0.2528668249383905,0.8647621235724259,0.0033750183682530574,0.2528668249383905,0.8647621235724259
ENSG00000166311,SMPD1,0.24810597212137575,0.13468135369249756,0.6439225776406201,0.22668873373433038,-0.13468135369249756,0.6439225776406201
ENSG00000166313,APBB1,0.12239894624654538,0.6133817861727824,0.03777528278726919,0.08043793777669787,-0.6133817861727824,0.03777528278726919
ENSG00000110169,HPX,0.004962119442427515,3.554488097119213,0.04798554395794599,0.0,-3.554488097119213,0.04798554395794599
ENSG00000110171,TRIM3,0.05292927405256016,0.04429336480002899,1.0,0.052312784707922395,-0.04429336480002899,1.0
ENSG00000132254,ARFIP2,0.17698226011324805,-0.12525262835404272,0.7427368748568448,0.19406355617455082,0.12525262835404272,0.7427368748568448
ENSG00000132286,TIMM10B,0.13893934438797043,-0.6978990645150716,0.009871329689229193,0.22725123679570589,0.6978990645150716,0.009871329689229193
ENSG00000179532,DNHD1,0.021502517583852566,0.6069555170133496,0.5050642180553394,0.014625079595763249,-0.6069555170133496,0.5050642180553394
ENSG00000132275,RRP8,0.0661615925657002,-0.6115218543197156,0.0669642476095467,0.10293806023171825,0.6115218543197156,0.0669642476095467
ENSG00000166333,ILK,0.6053785719761569,-0.00935497736941504,1.0,0.6097533185310524,0.00935497736941504,1.0
ENSG00000166337,TAF10,0.5226765812690316,0.0315198834565702,0.9815504903012653,0.5118777858517137,-0.0315198834565702,0.9815504903012653
ENSG00000166340,TPP1,0.83198202651368,0.06416247053613261,0.7986592254712526,0.795941831846346,-0.06416247053613261,0.7986592254712526
ENSG00000255680,AC091564.6,0.0,0.5544880971192132,1.0,0.0005625030613755096,-0.5544880971192132,1.0
ENSG00000166341,DCHS1,0.0959343092202653,4.115203051593693,3.9091892921594507e-22,0.005062527552379586,-4.115203051593693,3.9091892921594507e-22
ENSG00000255410,AC091564.5,0.001654039814142505,2.554488097119213,0.41953933465675025,0.0,-2.554488097119213,0.41953933465675025
ENSG00000158042,MRPL17,0.507790222941749,-1.0795921701666338,1.1489537111866113e-11,1.0749433502885988,1.0795921701666338,1.1489537111866113e-11
ENSG00000188124,OR2AG2,0.001654039814142505,1.5544880971192132,0.6309268503187934,0.0005625030613755096,-1.5544880971192132,0.6309268503187934
ENSG00000283415,AC087280.2,0.001654039814142505,0.5544880971192132,1.0,0.0016875091841265287,-0.5544880971192132,1.0
ENSG00000149054,ZNF215,0.0330807962828501,1.554488097119214,0.004386404035730397,0.011250061227510192,-1.554488097119214,0.004386404035730397
ENSG00000149050,ZNF214,0.001654039814142505,-1.1459516210218785,0.41953933465675025,0.006750036736506115,1.1459516210218785,0.41953933465675025
ENSG00000170748,RBMXL2,0.001654039814142505,2.554488097119213,0.41953933465675025,0.0,-2.554488097119213,0.41953933465675025
ENSG00000251364,AC107884.1,0.01323231851314004,1.9170581765039216,0.03675803509185182,0.0033750183682530574,-1.9170581765039216,0.03675803509185182
ENSG00000183801,OLFML1,0.06285351293741519,3.6699653145391498,8.651712970443806e-14,0.004500024491004077,-3.6699653145391498,8.651712970443806e-14
ENSG00000166387,PPFIBP2,0.0661615925657002,0.6641125882937118,0.09127389240870437,0.04218772960316322,-0.6641125882937118,0.09127389240870437
ENSG00000166394,CYB5R2,0.01654039814142505,4.0139197157565105,6.432505226518249e-05,0.0005625030613755096,-4.0139197157565105,6.432505226518249e-05
ENSG00000175390,EIF3F,0.975883490344078,-0.16553475142354862,0.41953933465675025,1.0946309574367417,0.16553475142354862,0.41953933465675025
ENSG00000166402,TUB,0.028118676840422588,0.080556908786801,1.0,0.02756265000739997,-0.080556908786801,1.0
ENSG00000166405,RIC3,0.0,0.5544880971192132,1.0,0.0005625030613755096,-0.5544880971192132,1.0
ENSG00000130413,STK33,0.004962119442427515,3.554488097119213,0.04798554395794599,0.0,-3.554488097119213,0.04798554395794599
ENSG00000166436,TRIM66,0.034734836096992606,1.0139197157565105,0.05681484927534782,0.017437594902640796,-1.0139197157565105,0.05681484927534782
ENSG00000166441,RPL27A,8.632433790009735,0.13169832211618315,0.4243469347833549,7.871667840888882,-0.13169832211618315,0.4243469347833549
ENSG00000166444,ST5,0.24645193230723325,-0.1474305499477917,0.6309268503187934,0.27393899088987317,0.1474305499477917,0.6309268503187934
ENSG00000254665,AC091053.1,0.001654039814142505,1.5544880971192132,0.6309268503187934,0.0005625030613755096,-1.5544880971192132,0.6309268503187934
